ID,Codigo,Examen,Material
1514,P210,PERFIL PICC -MetU,absceso
1515,P196,PERFIL PRECEVAL DNA,absceso
1516,P018,PERFIL PREOCUPACIONAL IACA - MUJERES,absceso
1517,P024,PERFIL PREOCUPACIONAL IACA VARONES,absceso
1518,P060,PERFIL PREQUIRURGICO AMPLIADO,absceso
1519,P059,PERFIL PREQUIRURGICO BASICO,absceso
1520,P195,PERFIL PREVECAL ANA,absceso
1521,P197,PERFIL PREVECAL CELIACO,absceso
1522,P157,PERFIL PROGBA MARCADORES OSEOS,absceso
1523,CISO,Cistina,orina
1524,P201,PERFIL TIROIDES EE,absceso
1525,PERFORIN,Perforina y Granzima,sangre EDTA
1526,VPERITO,Peritonitis infecciosa felina - PIF,liquido peritoneal VETERINARIA
1527,CITOGAN,Citogenetico ganglio,ganglio
1528,PEROXTSE,Peroxidasas tinción,semen
1529,CALBI,Calculo biliar,líquido biliar
1530,CALUC,Calculo urinario cristalografico,orina
1531,AVM24,Acido Vainillin Mandelico - AVM,orina 24 h
1532,AVML,Acido Vainillin Mandelico - AVM,orina
1533,BSEML,Bioquimica seminal mL,plasma seminal
1534,PORGCL,Pesticidas organoclorados,suero
1535,CITOMO,Citogenetico medula osea,medula osea heparina de sodio
1536,CITOG,Citogenetico,sangre heparina de sodio
1537,BSE,Bioquimica seminal,plasma seminal
1538,VALPRO,Acido Valproico,suero
1539,ABTP,Acidos Biliares Totales Perfil,suero
1540,BIOT,Biotina,suero
1541,PORGFO,Pesticidas organofosforados,suero
1542,PHO4,pH,orina 4h
1543,BILIA,Acidos Biliares,suero
1544,BIOTASS,Biotinidasa,sangre seca en papel filtro
1545,PH2H,pH,orina 2 h
1546,PH,pH,orina
1547,PHV,pH,sangre heparina
1548,AFP,Alfa Feto Proteina - AFP,suero
1549,ATBBAL,Antibiograma BAL,cepa bacteriana
1550,PLA2R,PLA2R – Receptor de Fosfolipasa A2 Ac.IgG,suero
1551,PLAC,Plaquetas Ac.,sangre EDTA
1552,PL,Plaquetas,sangre EDTA
1553,ATBGC1A,Antibiograma cultivo germenes comunes 1,absceso
1554,PRP,Plasma Rico en Plaquetas - PRP,plasma citrato
1555,ALPRA,Alprazolam,suero
1556,PLASMI,Plasminogeno,plasma citrato
1557,BPM,Bordetella pertussis Ac.IgM,suero
1558,BPPCR,Bordetella pertussis PCR,aspirado nasofaríngeo
1559,PLATA,Plata,suero
1560,AGCMLPLA,Acidos Grasos de Cadena Muy Larga,plasma EDTA
1561,BPPCRHN,Bordetella pertussis PCR,hisopado nasofaríngeo
1562,BPTOXA,Bordetella pertussis toxina Ac. IgA,suero
1563,BPTOXG,Bordetella pertussis toxina Ac. IgG,suero
1564,CMVG,Citomegalovirus Ac.IgG,suero
1565,PLOMOO,Plomo,orina post jornada laboral
1566,PLOMO,Plomo,sangre heparina
1567,CMVM,Citomegalovirus Ac.IgM,suero
1568,NTPROBNP,PNC - Péptido natriurético cerebral,suero
1569,PJBAL,Pneumocystis jirovecci PCR,lavado bronqueoalveolar
1570,PJOTRO,Pneumocystis jirovecci PCR,otro material
1571,PNEUJI,Pneumocystis jiroveci - coloracion,esputo
1572,PNEUJILB,Pneumocystis jiroveci - coloracion,lavado bronqueoalveolar
1573,AGCMLPLH,Acidos Grasos de Cadena Muy Larga,plasma heparina
1574,CMVCVPE,Citomegalovirus Carga Viral,plasma EDTA
1575,VITD25,25-Hidroxivitamina D (D2 + D3),suero
1576,PBKCV,Poliomavirus BK Carga Viral,orina
1577,PBKCVPE,Poliomavirus BK Carga Viral,plasma EDTA
1578,PBKDNAO,Poliomavirus BK DNA,orina
1579,PBKDNA,Poliomavirus BK DNA,plasma EDTA
1580,JCDNA,Poliomavirus JC DNA,LCR
1581,ANCA,ANCA - Neutrofilos Ac.,suero
1582,SARAG,Sarampion Ac.IgG,suero
1583,PORFI,Porfirinas totales eritrocitarias,sangre heparina
1584,PORFOCL,Porfobilinogeno cualitativo,orina
1585,PORFO24,Porfobilinogeno,orina 24 h
1586,CMVCV,Citomegalovirus Carga Viral,sangre EDTA
1587,CALSA,Calculo salival,saliva
1588,NEFA,Acidos Grasos No Esterificados - NEFA,suero
1589,DMFA24,"3,4 Dimetoxifeniletilamina",orina 24 h
1590,BBG,Borrelia burgdorferi Ac.IgG,suero
1591,ACORO,Acidos Organicos,orina representativa de 24 h
1592,POTMF,Potasio,materia fecal
1593,POT24,Potasio,orina 24 h
1594,POTL,Potasio,orina Litro
1595,POTO,Potasio,orina
1596,POT,Potasio,suero
1597,PR3G,PR3 - Proteinasa 3 Ac.IgG,suero
1598,PREALBU,Prealbumina,suero
1599,PRIMI,Primidona,suero
1600,PRLTRH,PRL - Prolactina - Prueba de estímulo con TRH,suero
1601,PRL25,PRL - Prolactina 25 minutos,suero
1602,PRL60,PRL - Prolactina 60 minutos,suero
1603,PRLP,PRL - Prolactina pool,suero
1604,PRLV,PRL - Prolactina vespertina,suero
1605,PRL,PRL - Prolactina,suero
1606,PROCAL,Procalcitonina,suero
1607,PG,Progesterona,suero
1608,CMVPCRBT,Citomegalovirus DNA PCR,biopsia de tejido
1609,PHHRP,Programas varios toma de muestra,materiales varios
1610,BBM,Borrelia burgdorferi Ac.IgM,suero
1611,PROPS,Propoxifeno Screening,orina
1612,ACILCSS,Acilcarnitinas,sangre seca en papel filtro
1613,PROTCF,Proteina C funcional,plasma citrato
1614,PCR,Proteina C Reactiva - PCR,suero
1615,PCRAS,Proteina C reactiva alta sensibilidad - HS-PCR,suero
1616,PROTBJ24,Proteina de Bence Jones,orina 24 h
1617,PROTBJ,Proteina de Bence Jones,orina
1618,PROTSF,Proteina S Funcional,plasma citrato
1619,PROTSL,Proteina S libre,plasma citrato
1620,PROTFRAC,Proteinas fraccionadas,suero
1621,CDNAPCLB,Citomegalovirus DNA PCR,lavado broncoalveolar
1622,ACRA,ACRA - Receptores Acetil Colina Ac.,suero
1623,ATBCOPRO,Antibiograma coprocultivo,materia fecal
1624,CMVPCRL,Citomegalovirus DNA PCR,LCR
1625,PROTT12,Proteinas totales,orina 12 h
1626,PROTT24,Proteinas totales,orina 24 h
1627,PROTTL,Proteinas totales,orina Litro
1628,PROTT,Proteinas totales,suero
1629,PELLCR,Proteinograma electroforetico,LCR
1630,PEL,Proteinograma electroforetico,suero
1631,CMVPCRLA,Citomegalovirus DNA PCR,líquido amniótico
1632,PRCR5,Proteinuria,orina
1633,PROTORDN,Proteinuria ortostatica,orina diurna y orina nocturna
1634,TAUBETA,Proteínas TAU – Beta amiloide en LCR,LCR
1635,ACTHPLA,ACTH - Adrenocorticotrofina,plasma EDTA
1636,COVIDLT,Activacion Linfocitos T con péptidos de SARS-CoV-2,sangre heparina
1637,HEPBPM,Actividad anti-Xa de la Heparina bajo peso molecular,plasma citrato
1638,NEM2AB,Proto-oncogen RET – Carcinoma medular de tiroides familiar,sangre EDTA
1639,NEM2AB,Proto-oncogen RET – Neoplasia Endocrina Multiple,sangre EDTA
1640,PROTOPOR,Protoporfirina eritrocitaria,sangre EDTA
1641,PROTOERI,Protoporfirina eritrocitaria,sangre heparina
1642,PT20210,Protrombina G20210A,sangre EDTA
1643,CMVPCRO,Citomegalovirus DNA PCR,orina
1644,BASOTEST,Prueba de activacion de Basofilos,sangre EDTA esteril
1645,BRCA12,BRCA 1y2 - Cancer hereditario mama y ovario,sangre EDTA
1646,PSAL,PSA Libre - Ag.Prostatico Especifico Libre,suero
1647,PSALT,PSA Libre y PSA Total,suero
1648,PSAT,PSA Total - Ag. Prostatico Especifico Total,suero
1649,PSEUCOL,Pseudocolinesterasa,suero
1650,AOL,Androstanediol glucuronido,suero
1651,ANTIXARI,Actividad anti-Xa del Rivaroxaban,plasma citrato
1652,ARPLA,Actividad de Renina,plasma EDTA
1653,PTH,PTH - Parathormona,plasma EDTA
1654,FVIII,Actividad del Factor VIII,
1655,ADALCR,Adenosin Deaminasa,LCR
1656,ADALP,Adenosin Deaminasa,liquido pericardico
1657,QFTB,QuantiFERON-TB Gold Plus,sangre heparina de sodio o litio
1658,QUETI,Quetiapina,plasma EDTA
1659,QUITO,Quitotriosidasa actividad - Enf. Gaucher,suero
1660,ADALPL,Adenosin Deaminasa,liquido pleural
1661,RAC,RAC - Relacion Albumina-Creatinina,orina
1662,AONA,Androstenediona,suero
1663,BPAM,Bromazepam,suero
1664,A1AC,Alfa-1 Antitripsina clearance,suero y materia fecal
1665,RSTRANS,Receptor soluble de transferrina,suero
1666,ADALV,Adenosin Deaminasa,líquido ascítico
1667,CAMPYC,Campylobacter spp. coloracion,materia fecal
1668,ACROPCLA,Aneuploidias Cromosomicas QF-PCR,líquido amniótico
1669,RECESPO,Recuento de espermatozoides,orina
1670,RECESP,Recuento de espermatozoides,semen
1671,CANHERED,Cancer Hereditario,sangre EDTA
1672,ACROPCOT,Aneuploidias Cromosomicas QF-PCR,otro material
1673,BR,Bromuro,suero
1674,RAR,Relacion Aldosterona-Actividad de Renina,suero y plasma EDTA
1675,CACRE5,Relacion Calcio - Creatinina,orina
1676,CC2O,Relacion Calcio-Creatinina,orina 2 h
1677,REL48,Relacion CD4/CD8,sangre EDTA
1678,PRCR5,Relacion Proteinas-Creatinina,orina
1679,sFlt1,Relacion sFlt-1/PIGF,suero
1680,ADAOT,Adenosin Deaminasa,otro material
1681,RENI,Renina,plasma EDTA
1682,CAG,Candida albicans Ac.IgG,suero
1683,HUDD,Brucella abortus - Reaccion de Huddleson,suero
1684,WRIG,Brucella abortus - Reaccion de Wright,suero
1685,ADVG,Adenovirus Ac.IgG,suero
1686,BRU2ME,Brucella abortus Ac - Huddleson 2 mercaptoetanol,suero
1687,ADVM,Adenovirus Ac.IgM,suero
1688,RPROTCA,Resistencia a la Proteina C Activada,plasma citrato
1689,HCVNS5A,Resistencia asociada a inhibidores de NS5A del virus de la Hepatitis C,plasma EDTA
1690,RETICUA,Reticulina Ac.IgA,suero
1691,RETI,Reticulocitos,sangre EDTA
1692,CMVPCROT,Citomegalovirus DNA PCR,otro material
1693,RETCOA,Retraccion del Coagulo,sangre entera
1694,A1AMF,Alfa-1 Antitripsina,materia fecal
1695,RHCDE,Rh - CDE,sangre EDTA
1696,RHC,RhC,sangre EDTA
1697,RHCC,Rhc,sangre EDTA
1698,RHE,RhE,sangre EDTA
1699,RHEE,Rhe,sangre EDTA
1700,RIBOPAC,Ribosomal P Ac.,suero
1701,RICKEIGG,Rickettsia conorii Ac. IgG,suero
1702,RICKEIGM,Rickettsia conorii Ac. IgM,suero
1703,CMVPCRP,Citomegalovirus DNA PCR,plasma EDTA
1704,RISPE9OH,Risperidona,plasma EDTA
1705,ROMA,ROMA - Riesgo de malignidad ovarica,suero
1706,A1A,Alfa-1 Antitripsina,suero
1707,ROTAVAG,Rotavirus Ag.,materia fecal
1708,A14GNML,"Alfa-1,4 Glucosidasa Neutra mL",plasma seminal
1709,RUBEOG,Rubeola Ac.IgG,suero
1710,RUBEOM,Rubeola Ac.IgM,suero
1711,A14GN,"Alfa-1,4 Glucosidasa Neutra",plasma seminal
1712,SACCERA,Saccharomyces cerevisiae Ac.IgA,suero
1713,SACCERG,Saccharomyces cerevisiae Ac.IgG,suero
1714,WIDAL,Salmonella spp. - Reaccion de Widal,suero
1715,BRUGI,Brucella abortus Ac.IgG IFI,suero
1716,MVACUL1,Samr,otro material
1717,CMVPCRS,Citomegalovirus DNA PCR,sangre EDTA
1718,SANOC,Sangre oculta,materia fecal
1719,SANOC2,Sangre oculta,materia fecal
1720,SANOC3,Sangre oculta,materia fecal
1721,SARAM,Sarampion Ac.IgM,suero
1722,SARPCRHN,Sarampion PCR,hisopado nasofaringeo
1723,SARPCLCR,Sarampion PCR,LCR
1724,SARPCRO,Sarampion PCR,orina
1725,SARPCROT,Sarampion PCR,otro material
1726,COVID19S,SARS-CoV-2 Coronavirus Ac. IgG (anti-Spike),suero
1727,COVID19A,SARS-CoV-2 Coronavirus PCR - aspirado nasofaríngeo,aspirado nasofaríngeo
1728,COVID19T,SARS-CoV-2 Coronavirus PCR - aspirado traqueal,aspirado traqueal
1729,COVID19E,SARS-CoV-2 Coronavirus PCR - esputo,esputo
1730,COVID19Y,SARS-CoV-2 Coronavirus PCR - hisopado anal,hisopado anal
1731,COVID19X,SARS-CoV-2 Coronavirus PCR - hisopado de superficie,hisopado de superficie
1732,COVID19H,SARS-CoV-2 Coronavirus PCR - hisopado nasofaringeo,hisopado nasofaringeo
1733,COVID19L,SARS-CoV-2 Coronavirus PCR - lavado broncoalveolar,lavado broncoalveolar
1734,COVID19Z,SARS-CoV-2 Coronavirus PCR - saliva,saliva
1735,SCL70,SCL 70 Ac.,suero
1736,SMOCOCER,Score de moco cervical,moco cervical
1737,SN2,Screening Neonatal 2 (TSH + Fenilalanina),sangre seca en papel
1738,SN3,Screening Neonatal 3 (2 +Tripsina Inmunoreactiva),sangre seca en papel
1739,SN4,Screening Neonatal 4 (3 + Galactosa),sangre seca en papel
1740,SN5,Screening Neonatal 5 (4 + 17-Hidroxi Progesterona),sangre seca en papel
1741,SN6,Screening Neonatal 6 (5 + Biotinidasa),sangre seca en papel
1742,SN7,Screening Neonatal 7 (6 + Leucina),sangre seca en papel
1743,S7,Screening Neonatal 7 (6+Leucina),Ambulatorio - sangre seca en papel
1744,SECCCUL1,Secrecion conjuntival - cultivo - muestra 1,secrecion conjuntival
1745,SECCCUL2,Secrecion conjuntival - cultivo - muestra 2,secrecion conjuntival
1746,SECNCUL1,Secrecion nasal - cultivo - muestra 1,secrecion nasal
1747,SECNCUL2,secrecion nasal - cultivo - muestra 2,secrecion nasal
1748,SECOCUL1,Secrecion otica - cultivo - muestra 1,secrecion otica
1749,SECOCUL2,Secrecion otica - cultivo - muestra 2,secrecion otica
1750,SECUEN2X,Secuenciacion Sanger bidireccional,producto de PCR
1751,SECUEN1X,Secuenciacion Sanger unidireccional,producto de PCR
1752,CMVPCRSP,Citomegalovirus DNA PCR,sangre seca en papel de filtro
1753,ADVAGNAS,Adenovirus Ag.,aspirado nasofaríngeo
1754,BRUMI,Brucella abortus Ac.IgM IFI,suero
1755,ADVAGO,Adenovirus Ag.,aspirado traqueal
1756,BRUI,Brucella abortus Ac.incompletos,suero
1757,SEO,Selenio,orina
1758,SE,Selenio,suero
1759,SERO24,Serotonina,orina 24 h
1760,SEROL,Serotonina,orina Litro
1761,SEROPLAQ,Serotonina,pellet plaquetario
1762,SERO,Serotonina,suero
1763,SERTRA,Sertralina,suero
1764,GLAE,SHBG,suero
1765,BRUT,Brucella abortus Ac.Totales IFI,suero
1766,WRIG2ME,Brucella abortus-Reaccion de Wright con 2mercaptoetanol,suero
1767,CANNAC,Cannabinoides Confirmatorio,orina
1768,SIHU,Sims-Huhner Test,moco cervical postcoital
1769,RSVG,Sincicial Respiratorio Virus Ac.IgG,suero
1770,RSVM,Sincicial Respiratorio Virus Ac.IgM,suero
1771,RSVAGAN,Sincicial Respiratorio Virus Ag.,aspirado nasofaríngeo
1772,RSVAGO,Sincicial Respiratorio Virus Ag.,aspirado traqueal
1773,RSVAG,Sincicial Respiratorio Virus Ag.,lavado bronqueoalveolar
1774,RSVPCRAN,Sincicial Respiratorio Virus PCR,aspirado nasofaríngeo
1775,RSVPCRAT,Sincicial Respiratorio Virus PCR,aspirado traqueal
1776,RSVPCRHN,Sincicial Respiratorio Virus PCR,hisopado nasofaríngeo
1777,RSVPCR,Sincicial Respiratorio Virus PCR,lavado bronqueoalveolar
1778,SILYN,Sindrome de Lynch,sangre EDTA
1779,MECP2,Sindrome de Rett,sangre EDTA
1780,AZTAVI,Sinergia Aztreonam - Avibactam Predifusion rapida,cepa bacteriana
1781,SIRO,Sirolimus,sangre EDTA
1782,RPROTCA,Sistema de la Proteina C Activada,plasma citrato
1783,SPROTC,Sistema de la Proteina C,plasma citrato
1784,TSOBRE,Sobrevida Test,semen
1785,ATBGC1F,Antibiograma cultivo germenes comunes 1,fistula
1786,ADVAG,Adenovirus Ag.,lavado bronqueoalveolar
1787,ADVAGMF,Adenovirus Ag.,materia fecal
1788,CANNAF,Cannabinoides en flores,flores secas de planta de cannabis
1789,CANNAS,Cannabinoides Screening,orina
1790,ADVPCRAN,Adenovirus PCR,aspirado nasofaríngeo
1791,SODIOMF,Sodio,materia fecal
1792,SODIO24,Sodio,orina 24 h
1793,SODIOL,Sodio,orina Litro
1794,SODIOO,Sodio,orina
1795,SODIO,Sodio,suero
1796,CANNAX,Cannabinoides,otros materiales
1797,BUFO24,Bufotenina,orina 24 h
1798,BUFOL,Bufotenina,orina Litro
1799,C1I,C1 inhibidor antigenico,suero
1800,CA125,CA 125 Ovario,suero
1801,CA153,CA 15-3 Mama,suero
1802,CA199,CA 19-9 Aparato digestivo,suero
1803,CA211,CA 21-1 Cyfra 21-1,suero
1804,SOMATOC,Somatomedina C - IGF-1,suero
1805,A2APLA,Alfa-2 Antiplasmina,plasma citrato
1806,MVACUL1,staphylococcus aureus meticilino resistente,otro material
1807,SGAAG,Streptococcus Grupo A Ag.,hisopado faringeo
1808,SGBAGO,Streptococcus Grupo B Ag.,orina
1809,SGBAG,Streptococcus Grupo B Ag.,suero
1810,NEUMOAC,Streptococcus pneumoniae - Neumococo Ac.,suero
1811,SPAGO,Streptococcus pneumoniae Ag.,orina
1812,SPAG,Streptococcus pneumoniae Ag.,suero
1813,EXFCUL,Streptococcus pyogenes - cultivo,hisopado faríngeo
1814,Th1Th17,"Subtipo linfocitario de células T CD4+ (Th1, Th2, Th17)",sangre EDTA
1815,SUCCI24,Succinilpurinas,orina representativa de 24 h
1816,ADVPCRHC,Adenovirus PCR,hisopado conjuntival
1817,CA724,CA 72-4 Estomago,suero
1818,KLTCN,Cadena Kappa-Lambda totales cuantitativo,suero
1819,ADVPCRHN,Adenovirus PCR,hisopado nasofaríngeo
1820,SULFA24,Sulfatos,orina 24 h
1821,SULFAL,Sulfatos,orina Litro
1822,SULFAO,Sulfatos,orina
1823,NFL,Cadena ligera de neurofilamentos (NFL),suero
1824,KLCN,Cadenas Kappa-Lambda libres cuantitativo,suero
1825,KLCN,Cadenas livianas libres cuantitativo,suero
1826,DMFAL,"3,4 Dimetoxifeniletilamina",orina Litro
1827,SOD,Superoxido Dismutasa - SOD,sangre heparina
1828,ADVPCRLB,Adenovirus PCR,lavado bronqueoalveolar
1829,SWUPI,Swim up Test inseminación,semen
1830,SWUP,Swim up Test,semen
1831,T3,T3 - Triiodotironina,suero
1832,CK,CK - creatinquinasa,suero
1833,TOXPCOT,Toxoplasma gondii PCR,otro material
1834,T3L,T3L - Triiodotironina Libre,suero
1835,CKMB,CK-MB creatinquinasa isoenzima MB,suero
1836,T4,T4 - Tiroxina,suero
1837,CREAC24,Clearance de Creatinina,suero y orina 24 h
1838,T4L,T4L - Tiroxina Libre,suero
1839,TACRO,Tacrolimus - FK 506,sangre EDTA
1840,ACROPCVC,Aneuploidias Cromosomicas QF-PCR,vellosidades coriónicas
1841,TALIO,Talio,orina
1842,CREA,Tasa de filtración glomerular estimada,suero
1843,TBG,TBG - Globulina Transportadora de Tiroxina,suero
1844,ANMESO,Anfetaminas - Metanfetaminas Screening,orina
1845,TSG,Tenia solium Ac. IgG,suero
1846,T1418,"Translocacion (14,18) Rearreglo JH-BCL-2 cualitativa",sangre EDTA
1847,T1418M,"Translocacion (14,18) Rearreglo JH-BCL-2 cualitativa",medula osea EDTA
1848,GRAHAM,Test de Graham,material perianal
1849,TESTOB,Testosterona biodisponible,suero
1850,TESTOL,Testosterona Libre,suero
1851,TESTO,Testosterona,suero
1852,FOSFOC24,Clearance de Fosforo,suero y orina 24 h
1853,UREAC24,Clearance de Urea,suero y orina 24 h
1854,TGO,TGO-AST - Aspartato Aminotransferasa,suero
1855,CLOBA,Clobazam,suero
1856,TGP,TGP-ALT - Alanino Aminotransferasa,suero
1857,HERO,Capacidad de degradacion de Histamina,suero
1858,TP,Tiempo de Protrombina,plasma citrato
1859,TP,Tiempo de Quick,plasma citrato
1860,IVY,Tiempo de sangria IVY,plasma citrato
1861,TT,Tiempo de Trombina,plasma citrato
1862,TIOP,Tiocianatos plasmaticos,plasma heparina
1863,TIOO,Tiocianatos urinarios,orina post jornada laboral
1864,TIOSUL24,Tiosulfatos,orina representativa de 24 h
1865,TIMOBA,Tipificación molecular de Bacillus,cepa bacteriana
1866,TIROG,Tiroglobulina - TG,suero
1867,TIROPAAF,Tiroglobulina PAAF-puncion aspiracion aguja fina,soluc lavado PAAF
1868,A2MG,Alfa-2 Macroglobulina,suero
1869,TIROSI,Tirosina,suero
1870,CDO,Cadmio,orina post jornada laboral
1871,CD,Cadmio,sangre heparina
1872,TNF,TNF - Factor de Necrosis Tumoral alfa,suero
1873,TOLUENO,Tolueno,sangre heparina
1874,ADVPCROT,Adenovirus PCR,otro material
1875,ANME,Anfetaminas-Metanfetaminas Confirmatorio,orina
1876,TOPIRA,Topiramato,plasma EDTA
1877,TOXOCAG,Toxocara canis - cati Ac.IgG,suero
1878,TOTE,Toxoide Tetanico Ac.,suero
1879,TOXAVI,Toxoplasma gondii - Test de avidez Ac.IgG,suero
1880,TOXAD,Toxoplasma gondii Ac. Aglutinación Directa,suero
1881,TOXHEA,Toxoplasma gondii Ac.HEA,suero
1882,TOXIFI,Toxoplasma gondii Ac.IFI,suero
1883,CLOMI,Clomipramina,suero
1884,TCRCLON,CLONALIDAD T (REARREGLO TCR-CADENA GAMMA),sangre EDTA/médula/ganglio
1885,TOXG,Toxoplasma gondii Ac.IgG,suero
1886,TOXM,Toxoplasma gondii Ac.IgM,suero
1887,TOXPCLCR,Toxoplasma gondii PCR,LCR
1888,TOXPCLA,Toxoplasma gondii PCR,líquido amniótico
1889,TPMT,TPMT - Tiopurina Metil Transferasa - Genotipo,sangre EDTA
1890,TPOAB,TPOAb Tiroperoxidasa Ac.,suero
1891,TRABTSH,TRAb - Receptor de TSH Ac.,suero
1892,TRANS,Transferrina,suero
1893,TTGAA,Transglutaminasa Ac.IgA,suero
1894,TTGAG,Transglutaminasa Ac.IgG,suero
1895,T1221,"Translocacion (12,21) Rearreglo TEL/AML1 cualitativa",sangre EDTA
1896,T1221M,"Translocacion (12,21) Rearreglo TEL/AML1 cualitativa",medula osea EDTA
1897,T1517,"Translocacion (15,17) Rearreglo PML/RAR alfa cualitativa",sangre EDTA
1898,T1517M,"Translocacion (15,17)Rearreglo PML/RAR alfa cualitativa",med osea EDTA
1899,T1616M,"Translocacion (16,16) Rearreglo MYH11/CBFb cualitativa",med osea EDTA
1900,T1616,"Translocacion (16,16) Rearreglo MYH11/CBFb cualitativa",sangre EDTA
1901,T411MLLM,"Translocacion (4,11) Rearreglo MLL - AF4",medula osea
1902,T411MLLS,"Translocacion (4,11) Rearreglo MLL - AF4",sangre EDTA
1903,T821M,"Translocacion (8,21) Rearreglo AML1/ETO cualitativa",m. osea EDTA
1904,T821,"Translocacion (8,21) Rearreglo AML1/ETO cualitativa",sangre EDTA
1905,922P190M,"Translocacion (9,22) Rearreglo BCR/ABL1 (p190) cuali T922P190M",Medula osea
1906,922P190M,"Translocacion (9,22) Rearreglo BCR/ABL1 (p190) cuali",med. osea EDTA
1907,T922P190,"Translocacion (9,22) Rearreglo BCR/ABL1 (p190) cuali",sangre EDTA
1908,T922LMCM,"Translocacion (9,22) Rearreglo BCR/ABL1 (p210) LMC cuali",m osea EDTA
1909,T922LMC,"Translocacion (9,22) Rearreglo BCR/ABL1 (p210) LMC cuali",sangre EDTA
1910,T922LMCC,"Translocacion (9,22) Rearreglo BCR/ABL1 (p210) LMC cuanti",sangre EDTA
1911,T922LMET,"Translocacion (9,22) Rearreglo BCR/ABL1 (p210)LMC cuanti",m. osea EDTA
1912,ZNT8,Transportador de Zinc Ac.,suero
1913,ADVPCRL,Adenovirus PCR,LCR
1914,ADVPCR,Adenovirus PCR,materia fecal
1915,ADVPCRO,Adenovirus PCR,orina
1916,ADVPCRP,Adenovirus PCR,plasma edta
1917,CAF,Cafeina,suero
1918,FOSCU,Treponema pallidum - Fondo oscuro,material de lesión
1919,FTAM,Treponema pallidum - FTA-Abs Ac.IgM,suero
1920,FTALCR,Treponema pallidum - FTA-Abs,LCR
1921,FTA,Treponema pallidum - FTA-Abs,suero
1922,SIFILAC,Treponema pallidum Ac. EQLIA,suero
1923,TRIQUIG,Trichinella spiralis Ac.IgG,suero
1924,CLONA,Clonazepam,suero
1925,ATBGC3AB,Antibiograma cultivo germenes comunes 3,absceso
1926,TRICLOE,Tricloroetanol,orina post jornada laboral
1927,ADH24,ADH - Hormona Antidiuretica - AVP - Arginina Vasopresina,orina 24 h
1928,CC2O,Calcio en orina de 2 horas ayuno prolongado,orina
1929,TG,Trigliceridos,suero
1930,ATBGC3F,Antibiograma cultivo germenes comunes 3,fistula
1931,HBVCT,Anti HBc - anti core,suero
1932,ATBGC3H,Antibiograma cultivo germenes comunes 3,herida
1933,TRIN,Tripsina Inmunorreactiva neonatal,sangre seca en papel filtro
1934,TRIPTO,Triptofano,suero
1935,TROMBOP,Trombofilia Panel,"suero, plasma citrato y plasma EDTA"
1936,TROPOT,Troponina T - hs-TNT,suero
1937,CHAS,Trypanosoma cruzi -parasit. directo-microhematocrito,sangre heparina
1938,CHAHEA,Trypanosoma cruzi Ac.HEA - Chagas,suero
1939,CAHIFI,Trypanosoma cruzi Ac.IFI - Chagas,suero
1940,CHAG,Trypanosoma cruzi Ac.IgG EQL - Chagas,suero
1941,CHAM,Trypanosoma cruzi Ac.IgM - Chagas,suero
1942,TSHTRH,TSH - Prueba de estímulo con TRH,suero
1943,TSH25,TSH - Tirotrofina 25 minutos,suero
1944,TSH60,TSH - Tirotrofina 60 minutos,suero
1945,TSHN,TSH - Tirotrofina Neonatal,sangre seca en papel filtro
1946,TSH,TSH - Tirotrofina,suero
1947,ATBGC3,Antibiograma cultivo germenes comunes 3,otro material
1948,5NUC,5'Nucleotidasa,suero
1949,KPTT,TTPC-KPTT,plasma citrato
1950,TTR,TTR - Deteccion de mutaciones en el gen de Transtiretina,sangre EDTA
1951,3METOXL,3-Metoxitiramina,orina
1952,TUNEL,Tunel Test Citometría de Flujo,semen
1953,3METOXPL,3-Metoxitiramina,plasma EDTA
1954,CL24,Cloro,orina 24 h
1955,UREAC24,Urea Clearance,suero y orina 24 h
1956,ADHL,ADH - Hormona Antidiuretica - AVP - Arginina Vasopresina,orina Litro
1957,UREA24,Urea,orina 24 h
1958,UREAL,Urea,orina Litro
1959,UREAO,Urea,orina
1960,CAIE,Calcio ionico estimado,suero
1961,UREA,Urea,suero
1962,UUREEC,Ureaplasma urealyticum - PCR,hisopado endocervical
1963,UUREHU,Ureaplasma urealyticum - PCR,hisopado uretral
1964,UUREOR,Ureaplasma urealyticum - PCR,orina primer chorro
1965,UUREO,Ureaplasma urealyticum - PCR,otro material
1966,UURESEM,Ureaplasma urealyticum - PCR,semen
1967,OMCULT,Urocultivo,orina
1968,CLL,Cloro,orina Litro
1969,OPSCUL,Urocultivo por punción de sonda,orina
1970,OSVCUL,Urocultivo por sondeo vesical,orina
1971,UROMF,Uroporfirinas,materia fecal
1972,URO24,Uroporfirinas,orina 24 h
1973,UROL,Uroporfirinas,orina Litro
1974,UROPROT,Uroproteinograma,orina 24 h
1975,ADH,ADH - Hormona Antidiuretica - AVP - Arginina Vasopresina,plasma EDTA
1976,CAIISE,Calcio ionico ISE,suero
1977,VANKA,Van de Kamer,materia fecal
1978,VANCO,Vancomicina,suero
1979,3METOX24,3-Metoxitiramina,orina 24 h
1980,VZG,Varicela Zoster virus Ac.IgG,suero
1981,VZM,Varicela Zoster virus Ac.IgM,suero
1982,VZPCRHS,Varicela Zoster virus PCR,hisopado de lesión
1983,VZPCR,Varicela Zoster virus PCR,LCR
1984,VZPCRSED,Varicela Zoster virus PCR,sangre EDTA
