codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
B24,CAPITULO I,Enfermedad por virus de la inmunodeficiencia humana (HIV),CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación"
B25,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Enfermedad debida a virus citomegalico
B26,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Parotiditis infecciosa
B27,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Mononucleosis infecciosa
B30,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Conjuntivitis viral
B33,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras enfermedades virales, no clasificadas en otra parte"
B34,CAPITULO I,Otras enfermedades virales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infección viral de sitio no especificado
B35,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Dermatofitosis
B36,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras micosis superficiales
B37,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Candidiasis
B38,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Coccidioidomicosis
B39,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Histoplasmosis
B40,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Blastomicosis
B41,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Paracoccidioidomicosis
B42,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Esporotricosis
B43,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Cromomicosis y absceso feomicotico
B44,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Aspergilosis
B45,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Criptococosis
B46,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Cigomicosis
B47,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Micetoma
B48,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras micosis, no clasificadas en otra parte"
B49,CAPITULO I,Micosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Micosis, no especificada"
B50,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Paludismo [malaria] debido a Plasmodium falciparum
B51,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Paludismo [malaria] debido a Plasmodium vivax
B52,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Paludismo [malaria] debido a Plasmodium malaria
